capcode,discipline,locatie/divisie,beschrijving
1170850,BRW,'s-Hertogenbosch,Bevelvoerder van Dienst
1170851,BRW,'s-Hertogenbosch,24-uursdienst
1170897,BRW,'s-Hertogenbosch,Infocode/Proefalarm
1170898,BRW,'s-Hertogenbosch,Noodalarmering
1170899,BRW,'s-Hertogenbosch,Monitorcode
1170901,BRW,s-Hertogenbosch vrijwilligers,Ploeg E
1170902,BRW,s-Hertogenbosch vrijwilligers,Ploeg F
1170905,BRW,s-Hertogenbosch vrijwilligers,Postalarm
1170911,BRW,s-Hertogenbosch vrijwilligers,Bezetting AH Ploeg E
1170912,BRW,s-Hertogenbosch vrijwilligers,Bezetting AH Ploeg F
1170915,BRW,s-Hertogenbosch vrijwilligers,Postalarm AH
1170921,BRW,s-Hertogenbosch vrijwilligers,Herbezetting Ploeg E
1170922,BRW,s-Hertogenbosch vrijwilligers,Herbezetting Ploeg F
1170925,BRW,s-Hertogenbosch vrijwilligers,Postalarm Herbezetting
1170947,BRW,s-Hertogenbosch vrijwilligers,Infocode/Proefalarm
1170948,BRW,s-Hertogenbosch vrijwilligers,Noodalarmering
1170949,BRW,s-Hertogenbosch vrijwilligers,Monitorcode
1170950,BRW,Liempde,Bevelvoerder van Dienst
1170955,BRW,Liempde,Postalarm
1170975,BRW,Liempde,Handcrew-Zuid6
1170997,BRW,Liempde,Infocode/Proefalarm
1170998,BRW,Liempde,Noodalarmering
1170999,BRW,Liempde,Monitorcode
1171000,BRW,Lith,Bevelvoerder van Dienst
1171005,BRW,Lith,Postalarm
1171045,BRW,Lith,Bezetting BRV
1171047,BRW,Lith,Infocode/Proefalarm
1171048,BRW,Lith,Noodalarmering
1171049,BRW,Lith,Monitorcode
1171050,BRW,Rosmalen,Bevelvoerder van Dienst
1171051,BRW,Rosmalen,Ploeg A
1171052,BRW,Rosmalen,Ploeg B
1171055,BRW,Rosmalen,Postalarm
1171070,BRW,Rosmalen,Bevelvoerder van Dienst Dagploeg
1171071,BRW,Rosmalen,Kazernebezetting TS Dagdienst
1171081,BRW,Rosmalen,Bezetting GW Ploeg A
1171082,BRW,Rosmalen,Bezetting GW Ploeg B
1171085,BRW,Rosmalen,Postalarm GW
1171097,BRW,Rosmalen,Infocode/Proefalarm
1171098,BRW,Rosmalen,Noodalarmering
1171099,BRW,Rosmalen,Monitorcode
1171100,BRW,Megen,Bevelvoerder van Dienst
1171105,BRW,Megen,Postalarm
1171125,BRW,Megen,Hand Crew
1171147,BRW,Megen,Infocode/Proefalarm
1171148,BRW,Megen,Noodalarmering
1171149,BRW,Megen,Monitorcode
1171150,BRW,Mill,Bevelvoerder van Dienst
1171151,BRW,Mill,Ploeg A
1171152,BRW,Mill,Ploeg B
1171155,BRW,Mill,Postalarm
1171171,BRW,Mill,Bezetting HV Ploeg A
1171172,BRW,Mill,Bezetting HV Ploeg B
1171175,BRW,Mill,Postalarm HV
1171185,BRW,Mill,Oppervlakte Redding Team
1171197,BRW,Mill,Infocode/Proefalarm
1171198,BRW,Mill,Noodalarmering
1171199,BRW,Mill,Monitorcode
1171200,BRW,Nistelrode,Bevelvoerder van Dienst
1171205,BRW,Nistelrode,Postalarm
1171215,BRW,Nistelrode,Postalarm Ondersteuners AH
1171225,BRW,Nistelrode,Postalarm CO-MU
1171247,BRW,Nistelrode,Infocode/Proefalarm
1171248,BRW,Nistelrode,Noodalarmering
1171249,BRW,Nistelrode,Monitorcode
1171250,BRW,Wanroij,Bevelvoerder van Dienst
1171255,BRW,Wanroij,Postalarm
1171265,BRW,Wanroij,Postalarm SBH
1171275,BRW,Wanroij,Postalarm HA
1171285,BRW,Wanroij,Postalarm GW
1171297,BRW,Wanroij,Infocode/Proefalarm
1171298,BRW,Wanroij,Noodalarmering
1171299,BRW,Wanroij,Monitorcode
1171300,BRW,Oeffelt,Bevelvoerder van Dienst
1171305,BRW,Oeffelt,Postalarm
1171315,BRW,Oeffelt,Postalarm Ondersteuningsteam AH
1171347,BRW,Oeffelt,Infocode/Proefalarm
1171348,BRW,Oeffelt,Noodalarmering
1171349,BRW,Oeffelt,Monitorcode
1171350,BRW,Sint Anthonis,Bevelvoerder van Dienst
1171355,BRW,Sint Anthonis,Postalarm
1171371,BRW,Sint Anthonis,Bezetting WT
1171375,BRW,Sint Anthonis,Postalarm WT
1171397,BRW,Sint Anthonis,Infocode/Proefalarm
1171398,BRW,Sint Anthonis,Noodalarmering
1171399,BRW,Sint Anthonis,Monitorcode
1171400,BRW,Oss,Bevelvoerder van Dienst
1171401,BRW,Oss,Ploeg A
1171402,BRW,Oss,Ploeg B
1171403,BRW,Oss,Ploeg C
1171405,BRW,Oss,Postalarm
1171406,BRW,Oss,Bezetting HW Ploeg A
1171407,BRW,Oss,Bezetting HW Ploeg B
1171408,BRW,Oss,Bezetting HW Ploeg C
1171411,BRW,Oss,Bezetting HA Ploeg A
1171412,BRW,Oss,Bezetting HA Ploeg B
1171413,BRW,Oss,Bezetting HA Ploeg C
1171421,BRW,Oss,Bezetting ABH Ploeg A
1171422,BRW,Oss,Bezetting ABH Ploeg B
1171423,BRW,Oss,Bezetting ABH Ploeg C
1171446,BRW,Oss,Verkenningseenheid
1171447,BRW,Oss,Infocode/Proefalarm
1171448,BRW,Oss,Noodalarmering
1171449,BRW,Oss,Monitorcode
1171450,BRW,Ravenstein,Bevelvoerder van Dienst
1171455,BRW,Ravenstein,Potalarm
1171497,BRW,Ravenstein,Infocode
1171498,BRW,Ravenstein,Noodalarmering
1171499,BRW,Ravenstein,Monitorcode
1171500,BRW,Zeeland,Kader
1171505,BRW,Zeeland,Potalarm
1171525,BRW,Zeeland,Postalarm GW
1171544,BRW,Zeeland,Bezetting GW
1171547,BRW,Zeeland,Infocode/Proefalarm
1171548,BRW,Zeeland,Noodalarmering
1171549,BRW,Zeeland,Monitorcode
1171550,BRW,Schaijk,Bevelvoerder van Dienst
1171555,BRW,Schaijk,Postalarm
1171575,BRW,Schaijk,Postalarm HV
1171597,BRW,Schaijk,Infocode/Proefalarm
1171598,BRW,Schaijk,Noodalarmering
1171599,BRW,Schaijk,Monitorcode
1171600,BRW,Schijndel,Bevelvoerder van Dienst
1171601,BRW,Schijndel,Ploeg A
1171602,BRW,Schijndel,Ploeg B
1171621,BRW,Schijndel,Bezetting WT Ploeg A
1171622,BRW,Schijndel,Bezetting WT Ploeg B
1171623,BRW,Schijndel,Bezetting WT Ploeg C
1171624,BRW,Schijndel,Bezetting WT Ploeg D
1171625,BRW,Schijndel,Postalarm WT
1171647,BRW,Schijndel,Infocode/Proefalarm
1171648,BRW,Schijndel,Noodalarmering
1171649,BRW,Schijndel,Monitorcode
1171650,BRW,Sint-Michielsgestel,Bevelvoerder van Dienst
1171651,BRW,Sint-Michielsgestel,Ploeg A
1171652,BRW,Sint-Michielsgestel,Ploeg B
1171655,BRW,Sint-Michielsgestel,Potalarm
1171675,BRW,Sint-Michielsgestel,Hand Crew
1171697,BRW,Sint-Michielsgestel,Infocode/Proefalarm
1171698,BRW,Sint-Michielsgestel,Noodalarmering
1171699,BRW,Sint-Michielsgestel,Monitorcode
1171700,BRW,Sint-Oedenrode,Bevelvoerder van Dienst
1171701,BRW,Sint-Oedenrode,Ploeg A
1171702,BRW,Sint-Oedenrode,Ploeg B
1171705,BRW,Sint-Oedenrode,Postalarm
1171731,BRW,Sint-Oedenrode,Bezetting HV Ploeg A
1171732,BRW,Sint-Oedenrode,Bezetting HV Ploeg B
1171735,BRW,Sint-Oedenrode,Postalarm HV
1171747,BRW,Sint-Oedenrode,Infocode/Proefalarm
1171748,BRW,Sint-Oedenrode,Noodalarmering
1171749,BRW,Sint-Oedenrode,Monitorcode
1171750,BRW,Uden,Bevelvoerder van Dienst
1171751,BRW,Uden,Ploeg A
1171752,BRW,Uden,Ploeg B
1171753,BRW,Uden,Ploeg C
1171755,BRW,Uden,Postalarm
1171761,BRW,Uden,Bezetting AL Ploeg A
1171762,BRW,Uden,Bezetting AL Ploeg B
1171763,BRW,Uden,Bezetting AL Ploeg C
1171771,BRW,Uden,Bezetting WT Ploeg A
1171772,BRW,Uden,Bezetting WT Ploeg B
1171773,BRW,Uden,Bezetting WT Ploeg C
1171797,BRW,Uden,Infocode/Proefalarm
1171798,BRW,Uden,Noodalarmering
